price_usd;comuna;habitaciones;ba�o;area_construida;area_total
5983375;LasCondes;10;12;2400;5061
2437671;LoBarnechea;5;3;517;2977
611634;Talagante;5;4;261;5000
1232877;Talagante;8;7;620;5000
3324097;Vitacura;8;5;873;10806
4299166;LoBarnechea;5;4;400;2781
1232132;LoBarnechea;4;4;337;809
673684;LoBarnechea;5;3;153;193
731301;LoBarnechea;5;4;171;434
1063711;LoBarnechea;6;5;260;1000
1152354;LoBarnechea;5;4;395;1050
2171743;Vitacura;7;6;440;1100
642659;Providencia;3;3;230;528
620498;LasCondes;6;5;170;350
514127;Pudahuel;4;2;140;780
289861;Pudahuel;3;3;112;261
421052;LaCisterna;5;5;490;500
819944;LasCondes;6;4;220;265
211706;Maipú;5;2;127;210
1325207;LoBarnechea;5;4;260;700
316853;Ñuñoa;3;2;70;84
482659;Ñuñoa;3;2;99;127
478227;Ñuñoa;3;2;94;122
442770;Ñuñoa;2;2;93;124
438781;Ñuñoa;2;3;96;123
886426;LoBarnechea;4;4;275;921
1325207;LoBarnechea;4;5;389;900
1280885;LoBarnechea;6;4;500;5900
611634;LasCondes;4;4;152;500
660387;Colina;5;7;250;5000
841218;Providencia;8;4;240;20
534072;LoBarnechea;3;3;140;200
394460;Peñalolén;5;4;140;256
1174514;LasCondes;5;4;241;706
1019390;LasCondes;7;4;250;480
547368;Vitacura;4;3;109;261
311333;Independencia;5;3;153;382
199446;PuenteAlto;3;3;92;180
797783;LaReina;6;5;202;638
749030;LaReina;10;5;310;926
180573;LaFlorida;4;2;92;162
232687;PuenteAlto;3;3;90;150
170610;PuenteAlto;4;2;100;191
341274;PuenteAlto;4;3;0;0
1595123;Peñalolén;7;7;450;4000
105853;Ñuñoa;3;1;75;75
970636;Colina;6;5;370;5000
243767;Maipú;3;1;94;267
310249;Huechuraba;4;2;118;200
686980;LoBarnechea;4;3;164;220
602770;Vitacura;3;3;125;256
2437671;LoBarnechea;6;5;604;4720
930304;LasCondes;5;4;167;482
1462603;LoBarnechea;6;5;235;815
1440442;LoBarnechea;5;5;293;742
1325207;LoBarnechea;5;5;294;818
1227700;Colina;4;4;296;5016
1373960;LoBarnechea;6;4;282;875
498132;LoBarnechea;3;3;121;379
1285318;LoBarnechea;5;5;264;881
1351800;LoBarnechea;6;5;306;1137
1684209;LoBarnechea;7;6;600;2000
1639888;LoBarnechea;7;5;495;7200
1108032;Vitacura;8;5;220;455
1772852;LoBarnechea;4;4;328;924
249066;Cerrillos;6;3;183;282
1772852;LoBarnechea;4;3;236;936
620498;LoBarnechea;4;3;150;315
65152;Cerrillos;2;1;100;120
1058531;Maipú;6;2;300;1500
704709;Vitacura;4;3;140;270
864265;LoBarnechea;5;4;205;480
704709;Vitacura;4;2;145;289
841661;LoBarnechea;5;4;176;469
1945705;LoBarnechea;5;4;404;906
286426;Recoleta;3;2;180;254
168120;LaFlorida;3;2;104;166
1993129;LoBarnechea;8;8;660;1294
1325207;LasCondes;7;5;343;1112
2415511;LoBarnechea;7;7;467;1301
1648752;LoBarnechea;3;3;428;1800
2029915;LoBarnechea;5;4;367;1710
1369528;LoBarnechea;5;7;330;970
1108032;LoBarnechea;7;4;327;950
112080;Conchalí;3;1;97;120
744598;LaReina;5;3;225;486
2650413;LoBarnechea;6;6;614;1644
1950137;LoBarnechea;7;8;560;1300
1041550;LoBarnechea;5;5;260;694
3368418;LoBarnechea;5;5;800;1800
70984;Lampa;4;2;57;79
168120;Renca;3;3;83;120
881994;Pirque;5;4;0;0
496887;Pirque;5;4;298;5010
122061;PuenteAlto;4;1;0;0
199253;Macul;5;0;150;171
664376;LasCondes;4;2;160;200
689196;Ñuñoa;6;4;242;443
573961;LasCondes;4;2;135;319
527423;Vitacura;4;3;140;303
1196675;LaReina;5;5;297;780
1595567;Vitacura;7;5;360;578
842105;LoBarnechea;6;5;250;464
620498;Vitacura;5;3;170;210
1085872;LoBarnechea;4;3;300;1220
873130;LoBarnechea;5;5;215;611
1152354;Providencia;6;5;294;551
886426;LoBarnechea;5;5;200;539
616066;Colina;5;5;166;619
908587;LoBarnechea;5;6;227;532
611634;LoBarnechea;5;5;180;216
664819;LoBarnechea;6;5;162;216
970636;Vitacura;4;3;140;420
1240996;Vitacura;6;5;344;1050
886426;LasCondes;6;4;210;480
1298614;Providencia;5;4;425;506
1147922;LasCondes;5;5;266;836
1329639;LasCondes;5;5;433;1127
3324097;LoBarnechea;6;7;735;2502
1307478;LoBarnechea;6;4;415;1261
622665;Providencia;6;4;325;125
174346;SanJoaquín;4;2;90;198
697385;EstaciónCentral;6;3;484;437
975068;LoBarnechea;3;2;168;1246
407756;LaFlorida;4;2;115;307
1062825;LasCondes;4;5;280;515
348692;LaFlorida;4;2;139;199
199446;PuenteAlto;4;3;96;148
376731;Ñuñoa;3;3;93;121
106371;Colina;2;1;52;91
487091;LaFlorida;5;3;155;299
221606;LaFlorida;3;3;90;100
944044;Providencia;5;4;248;470
398892;LaFlorida;4;2;120;288
211706;LaFlorida;4;2;127;370
664819;Providencia;4;2;135;356
323786;Maipú;4;2;160;260
228255;Maipú;3;3;90;180
271482;Recoleta;4;2;200;260
327978;Peñalolén;4;2;110;278
485679;Ñuñoa;3;2;132;216
340831;LaReina;3;2;87;158
642659;LaReina;5;3;163;497
230386;Santiago;5;1;110;156
558448;Ñuñoa;5;3;167;228
386052;Peñalolén;4;3;189;200
283935;SanMiguel;3;2;125;300
255293;SanMiguel;5;3;163;175
1196675;Providencia;4;3;300;380
474238;LasCondes;4;2;105;220
319113;Macul;7;2;112;190
394460;LaReina;5;2;103;216
598337;IsladeMaipo;4;3;350;5000
188366;EstaciónCentral;5;3;115;155
2511776;LaReina;4;4;228;4928
753462;Buin;6;4;330;5000
290304;Santiago;4;3;202;332
1551245;LoBarnechea;7;6;670;2150
628476;LasCondes;4;2;102;210
485318;LasCondes;5;2;124;320
709141;LasCondes;7;1;158;577
288088;Peñalolén;3;2;130;200
1639888;LoBarnechea;7;7;350;3500
611634;Vitacura;5;3;140;200
161893;Huechuraba;5;2;75;144
102117;PuenteAlto;2;1;38;124
211706;Quilicura;3;1;87;350
336842;Peñalolén;4;3;147;176
921883;LaReina;6;5;270;573
523039;Santiago;6;2;180;360
585305;Tiltil;4;4;290;75000
1063711;LaReina;5;4;240;600
217933;Maipú;4;3;119;300
95890;PuenteAlto;4;2;75;112
199253;ElBosque;3;1;54;418
286316;Santiago;3;2;200;340
68493;Colina;2;2;59;67
627590;Santiago;1;1;708;708
265928;Huechuraba;3;3;110;200
686980;LasCondes;6;5;170;290
680332;LasCondes;4;4;181;252
1099168;LasCondes;5;5;270;820
992797;LasCondes;6;4;190;398
1240553;LasCondes;5;4;259;633
1373960;LasCondes;5;5;400;1000
1551245;LasCondes;3;3;200;501
1546813;LasCondes;4;5;330;600
1285318;LasCondes;4;4;260;1154
1285318;LoBarnechea;4;4;360;1000
1728531;LoBarnechea;5;4;470;980
855401;LasCondes;4;3;168;630
1209971;LoBarnechea;5;4;228;837
1147922;LasCondes;5;3;261;300
1546813;LasCondes;6;6;443;943
819501;LoBarnechea;4;4;235;502
1276453;LoBarnechea;4;4;363;1200
1077007;LoBarnechea;5;5;374;1126
491966;LoBarnechea;4;3;136;110
224159;Peñalolén;7;3;114;162
1440486;LoBarnechea;4;4;295;631
1287356;LoBarnechea;3;3;254;529
952465;LasCondes;4;3;172;374
1037118;LoBarnechea;4;1;180;685
2637117;Vitacura;5;5;494;1839
2526314;Vitacura;1;2;250;512
868254;LoBarnechea;5;4;214;614
952908;LoBarnechea;6;4;205;491
1453738;LoBarnechea;5;4;310;735
664819;LoBarnechea;5;3;150;320
1679334;Vitacura;5;4;253;2900
966204;LoBarnechea;3;3;245;465
211706;PuenteAlto;3;3;97;137
438781;LaReina;3;2;92;420
1418281;LoBarnechea;5;4;274;731
1502492;LoBarnechea;5;4;330;753
788919;LoBarnechea;5;4;157;328
1413849;LoBarnechea;5;5;273;731
700276;Vitacura;5;4;140;150
2393350;LoBarnechea;5;3;450;1479
749030;Colina;5;5;175;510
465374;LaReina;4;3;175;318
465374;Ñuñoa;3;2;133;261
464930;Ñuñoa;5;3;127;176
1196675;LasCondes;5;3;243;980
211706;Santiago;3;2;129;163
1019390;LaReina;4;2;230;1000
797783;Peñaflor;5;4;787;5000
387811;Peñalolén;4;3;110;300
952908;LaReina;4;3;145;803
775623;LoBarnechea;5;4;211;300
1404985;LoBarnechea;5;4;295;707
1684209;LoBarnechea;6;4;392;961
2282547;LoBarnechea;7;5;653;1381
1418281;LoBarnechea;5;4;271;1100
873130;LasCondes;5;3;160;684
526980;Vitacura;3;3;90;178
2211633;Vitacura;6;6;450;1002
1462603;LoBarnechea;4;4;334;795
1639888;LoBarnechea;4;4;333;811
1772852;LoBarnechea;4;4;335;809
2038780;LoBarnechea;6;4;520;1820
1728531;LoBarnechea;6;4;375;900
1551245;LoBarnechea;6;4;448;1428
2304707;LoBarnechea;8;7;908;4844
664819;LoBarnechea;6;3;178;321
828808;Colina;4;4;540;3500
137396;PuenteAlto;3;2;75;139
1316342;LoBarnechea;6;5;295;858
839889;Vitacura;6;3;210;400
593905;Peñalolén;4;3;160;410
99626;Santiago;2;1;56;92
1462603;LoBarnechea;5;7;650;1600
374515;LaFlorida;3;3;136;200
1108032;Vitacura;5;4;236;477
797783;Vitacura;5;4;146;178
1235678;LoBarnechea;5;5;265;720
2614513;Colina;5;5;583;3700
1174071;LoBarnechea;5;4;306;1020
1418281;LoBarnechea;5;6;417;1323
2082658;Vitacura;5;4;400;1059
1439999;LasCondes;5;4;360;1700
2216065;Vitacura;4;3;600;2000
1063711;LoBarnechea;5;3;228;668
132521;Lampa;3;2;68;200
460941;Ñuñoa;4;3;180;330
398892;LaFlorida;3;3;115;300
345706;LaFlorida;3;3;123;335
908587;LoBarnechea;6;4;232;327
704709;LoBarnechea;5;4;140;342
2216065;LasCondes;5;4;440;1700
975068;Providencia;8;6;373;615
1280885;Providencia;6;2;314;750
421052;Colina;3;4;140;450
819944;Colina;4;4;200;5000
886426;LasCondes;4;1;174;485
686980;LasCondes;4;4;170;300
988365;PuenteAlto;4;3;211;1320
2038780;LoBarnechea;4;6;349;1142
345706;LaFlorida;3;4;197;446
629362;Colina;4;5;166;619
576177;LasCondes;4;2;133;306
669252;LoBarnechea;5;4;140;321
1323877;LoBarnechea;5;4;369;2080
575734;Colina;4;4;140;447
646204;Colina;5;4;180;560
975068;Peñalolén;4;4;400;1861
1728531;LoBarnechea;6;5;380;1230
3324097;Vitacura;6;5;1000;5600
642216;Colina;4;4;160;600
642659;LoBarnechea;6;4;140;277
472687;Ñuñoa;3;1;65;328
587257;Colina;3;4;178;469
1063711;Vitacura;4;4;131;375
731301;LasCondes;4;3;160;504
150692;LaCisterna;3;1;60;150
708919;LasCondes;5;4;300;437
616066;LasCondes;5;3;141;435
1329639;Vitacura;4;3;393;485
2083101;Vitacura;6;6;409;1400
1462603;LasCondes;5;4;401;1820
311800;Santiago;6;3;263;201
1310492;Colina;7;4;539;5000
540720;LoBarnechea;5;4;120;360
554016;Providencia;4;3;132;264
254537;Peñalolén;4;4;267;250
966204;Ñuñoa;6;4;250;660
797783;LasCondes;3;2;200;490
434349;Ñuñoa;4;2;119;163
168421;Maipú;3;1;70;100
310249;Ñuñoa;6;2;154;128
105853;Recoleta;2;2;67;66
243767;QuintaNormal;4;2;150;200
205562;Maipú;3;2;161;231
1085872;LoBarnechea;5;3;270;808
469806;PadreHurtado;3;3;140;5000
1750691;LoBarnechea;5;4;320;2053
365651;Colina;3;2;110;5000
166648;PuenteAlto;3;2;82;120
709141;Independencia;4;2;186;527
438781;LasCondes;3;2;112;212
1546813;LasCondes;7;6;480;1430
1054847;LasCondes;5;5;247;500
709141;LasCondes;6;4;192;347
124533;QuintaNormal;4;1;80;80
1187811;LasCondes;5;6;527;1277
749030;LasCondes;4;3;133;392
842105;LasCondes;4;4;204;260
708698;LasCondes;3;4;220;290
2349029;LasCondes;5;4;300;2898
762326;LasCondes;5;5;180;300
837672;LasCondes;5;4;234;446
1458171;LasCondes;6;6;320;826
833240;LasCondes;5;4;162;442
1085872;LasCondes;4;4;320;1030
1635456;LasCondes;8;7;536;1856
1085827;LasCondes;4;4;350;1150
722437;LasCondes;4;3;152;348
1285318;LasCondes;5;5;335;1600
987922;LasCondes;5;5;240;400
498132;LasCondes;4;4;180;288
531856;PuenteAlto;7;3;200;314
948476;LasCondes;5;4;312;523
975068;LasCondes;6;4;203;475
1307478;LasCondes;6;5;390;668
1329639;LasCondes;5;5;350;1100
1373960;LasCondes;6;5;412;1207
686980;LasCondes;6;3;218;400
1059279;LasCondes;7;5;270;448
1307478;LasCondes;5;5;293;800
948476;LasCondes;5;4;266;805
1615290;Providencia;6;5;229;600
56040;IsladeMaipo;2;1;0;0
1684209;LoBarnechea;7;7;577;1276
2623821;LasCondes;6;4;650;3200
394460;Huechuraba;4;4;140;270
309806;Huechuraba;3;4;128;208
323102;Huechuraba;3;3;140;280
553573;Huechuraba;5;5;156;533
354127;Huechuraba;4;4;140;276
149440;Colina;3;1;90;135
1307478;Vitacura;6;4;274;725
1549029;LoBarnechea;6;4;420;1228
151930;Maipú;5;2;131;130
180573;Colina;4;3;84;194
164384;Maipú;7;3;145;110
148194;Maipú;5;2;113;108
174346;Maipú;5;2;116;166
205479;Maipú;4;4;154;159
173101;Maipú;5;2;127;112
180573;Colina;4;3;84;194
199446;Maipú;3;2;101;191
174346;Maipú;6;3;108;124
