Price_USD,Comuna,Dorms,Baths,Built Area,Total Area,Parking
250415,PuenteAlto,3,3.0,99.0,300.0,3.0
618282,LaFlorida,7,4.0,206.0,1000.0,6.0
356786,Santiago,4,2.0,119.0,182.0,2.0
97285,LoEspejo,3,1.0,74.0,160.0,4.0
161893,Maipú,4,2.0,84.0,90.0,2.0
69738,LaGranja,3,1.0,53.0,63.0,
137396,PuenteAlto,3,1.0,56.0,90.0,1.0
1683766,LaReina,6,3.0,295.0,1150.0,
1152354,Ñuñoa,11,4.0,567.0,702.0,1269.0
143213,Maipú,3,2.0,62.0,100.0,1.0
186800,LaFlorida,3,2.0,65.0,105.0,1.0
686980,LasCondes,4,3.0,200.0,500.0,3.0
354570,LaReina,3,1.0,88.0,275.0,
927771,LasCondes,6,5.0,180.0,542.0,2.0
1284431,LoBarnechea,7,5.0,300.0,5600.0,10.0
487534,LasCondes,3,2.0,122.0,226.0,2.0
325762,Providencia,3,1.0,91.0,91.0,
398448,LaReina,4,2.0,119.0,165.0,1.0
1500276,LoBarnechea,6,7.0,520.0,832.0,
788033,Providencia,4,3.0,281.0,500.0,4.0
554016,Vitacura,5,4.0,130.0,150.0,2.0
494182,LasCondes,3,3.0,113.0,253.0,2.0
81994,Quilicura,2,1.0,80.0,56.0,1.0
1595567,Vitacura,5,5.0,330.0,560.0,4.0
496399,LasCondes,3,2.0,75.0,229.0,3.0
252631,QuintaNormal,6,2.0,299.0,390.0,6.0
1573406,LasCondes,4,4.0,168.0,233.0,3.0
102117,PuenteAlto,4,2.0,48.0,123.0,2.0
135741,CaleradeTango,4,2.0,90.0,140.0,1.0
199253,Melipilla,3,3.0,140.0,160.0,2.0
155666,Recoleta,4,2.0,100.0,245.0,6.0
146949,Melipilla,6,3.0,120.0,140.0,1.0
80946,Lampa,2,1.0,55.0,70.0,1.0
531811,Talagante,3,3.0,181.0,5141.0,3.0
106371,SanBernardo,5,2.0,98.0,107.0,1.0
195014,LaFlorida,4,2.0,123.0,181.0,1.0
1905816,LoBarnechea,4,3.0,480.0,1499.0,4.0
327534,LasCondes,3,2.0,83.0,144.0,
611634,Colina,4,,270.0,4500.0,
513684,Colina,5,4.0,178.0,495.0,
686980,Colina,6,4.0,240.0,1110.0,
309806,Colina,4,3.0,108.0,424.0,
314681,Colina,4,3.0,115.0,350.0,
390027,Colina,5,3.0,128.0,422.0,
