price_usd;comuna;habitaciones;banio;area_construida;area_total
149440;Buin;3;2;72;120
176399;Buin;3;3;72;172
332410;Buin;4;3;128;272
161893;Buin;5;3;150;190
440847;CaleradeTango;3;3;218;5000
135741;CaleradeTango;4;2;90;140
697385;CaleradeTango;6;4;;
174346;CaleradeTango;3;1;100;100
640443;CaleradeTango;5;3;200;5000
224159;CaleradeTango;3;2;125;500
709141;CaleradeTango;5;4;280;5000
771191;CaleradeTango;6;5;480;5200
700276;CaleradeTango;5;6;470;5000
620498;CaleradeTango;4;4;340;5044
886426;CaleradeTango;6;6;488;6860
575734;CaleradeTango;4;5;260;5000
487313;CaleradeTango;5;3;5300;5300
686980;CaleradeTango;6;4;330;5000
465374;CaleradeTango;3;2;170;5000
191512;CaleradeTango;4;2;72;400
560399;CaleradeTango;4;3;397;6800
443213;CaleradeTango;3;3;190;5000
114925;CaleradeTango;5;2;97;250
744598;CaleradeTango;4;5;355;5000
740166;CaleradeTango;5;5;5094;310
505263;CaleradeTango;2;3;190;5000
83437;Cerrillos;4;1;100;106
249066;Cerrillos;6;3;183;282
65152;Cerrillos;2;1;100;120
219390;Cerrillos;4;2;130;114
238892;Cerrillos;3;3;84;145
181717;Cerrillos;5;1;350;350
296389;Cerrillos;5;1;110;363
236613;Cerrillos;4;1;90;575
170016;Cerrillos;5;2;140;275
150692;Cerrillos;3;2;60;145
199446;Cerrillos;3;1;275;275
206980;Cerrillos;3;2;87;138
293185;Cerrillos;4;3;114;153
201743;Cerrillos;3;2;92;170
232820;Cerrillos;3;2;139;149
245673;Cerrillos;5;2;150;150
164384;Cerrillos;3;3;76;124
236613;Cerrillos;3;3;85;147
136986;Cerrillos;5;3;110;225
146260;Cerrillos;2;1;67;324
118781;Cerrillos;4;1;75;128
126316;Cerrillos;4;1;88;250
124533;Cerrillos;3;1;75;95
149363;Cerrillos;3;1;80;150
101494;Cerrillos;3;1;84;103
311333;Cerrillos;4;2;165;377
248199;Cerrillos;3;2;124;319
161893;Cerrillos;4;2;130;80
181717;Cerrillos;2;;;0
130760;Cerrillos;3;1;48;125
90909;Cerrillos;4;2;127;101
161773;Cerrillos;3;2;72;171
176842;Cerrillos;3;1;75;220
161773;Cerrillos;2;1;80;126
255293;Cerrillos;5;3;140;180
198161;Cerrillos;3;3;95;160
236613;Cerrillos;5;3;146;180
226039;Cerrillos;5;2;155;218
161893;Cerrillos;4;1;;180
443213;Cerrillos;2;3;325;294
311333;Cerrillos;2;1;92;1068
210526;Cerrillos;3;2;120;196
228255;Cerrillos;3;2;96;371
265928;Cerrillos;5;3;143;148
161773;Cerrillos;3;2;151;59
180831;Cerrillos;3;2;82;121
