price_usd;comuna;dorm;bath;built_area;total_area;parqking
689196;Ñuñoa;6;4;242;443;4
573961;LasCondes;4;2;135;319;2
527423;Vitacura;4;3;140;303;2
1196675;LaReina;5;5;297;780;6
1595567;Vitacura;7;5;360;578;2
842105;LoBarnechea;6;5;250;464;2
620498;Vitacura;5;3;170;210;2
1085872;LoBarnechea;4;3;300;1220;3
873130;LoBarnechea;5;5;215;611;3
1152354;Providencia;6;5;294;551;3
886426;LoBarnechea;5;5;200;539;2
616066;Colina;5;5;166;619;2
908587;LoBarnechea;5;6;227;532;2
611634;LoBarnechea;5;5;180;216;2
664819;LoBarnechea;6;5;162;216;2
970636;Vitacura;4;3;140;420;2
1240996;Vitacura;6;5;344;1050;4
886426;LasCondes;6;4;210;480;2
1298614;Providencia;5;4;425;506;
1147922;LasCondes;5;5;266;836;3
1329639;LasCondes;5;5;433;1127;4
3324097;LoBarnechea;6;7;735;2502;4
1307478;LoBarnechea;6;4;415;1261;4
622665;Providencia;6;4;325;125;1
174346;SanJoaquín;4;2;90;198;2
697385;EstacionCentral;6;3;484;437;4
975068;LoBarnechea;3;2;168;1246;4
407756;LaFlorida;4;2;115;307;2
1062825;LasCondes;4;5;280;515;2
348692;LaFlorida;4;2;139;199;2
199446;PuenteAlto;4;3;96;148;1
376731;Ñuñoa;3;3;93;121;
106371;Colina;2;1;52;91;
487091;LaFlorida;5;3;155;299;4
221606;LaFlorida;3;3;90;100;1
944044;Providencia;5;4;248;470;
398892;LaFlorida;4;2;120;288;3
211706;LaFlorida;4;2;127;370;3
664819;Providencia;4;2;135;356;3
323786;Maipu;4;2;160;260;2
228255;Maipu;3;3;90;180;2
271482;Recoleta;4;2;200;260;
813296;Peñalolén;7;5;237;701;4
485679;Ñuñoa;3;2;132;216;
340831;LaReina;3;2;87;158;2
642659;LaReina;5;3;163;497;3
230386;Santiago;5;1;110;156;
558448;Ñuñoa;5;3;167;228;4
808219;Peñalolén;5;5;200;650;
283935;SanMiguel;3;2;125;300;3
255293;SanMiguel;5;3;163;175;3
1196675;Providencia;4;3;300;380;3
474238;LasCondes;4;2;105;220;2
319113;Macul;7;2;112;190;
394460;LaReina;5;2;103;216;
598337;IsladeMaipo;4;3;350;5000;4
188366;EstacionCentral;5;3;115;155;3
2511776;LaReina;4;4;228;4928;5
753462;Buin;6;4;330;5000;
290304;Santiago;4;3;202;332;
1551245;LoBarnechea;7;6;670;2150;8
628476;LasCondes;4;2;102;210;1
485318;LasCondes;5;2;124;320;
709141;LasCondes;7;1;158;577;
797783;Peñalolén;3;3;165;165;
1639888;LoBarnechea;7;7;350;3500;6
611634;Vitacura;5;3;140;200;2
161893;Huechuraba;5;2;75;144;1
102117;PuenteAlto;2;1;38;124;1
211706;Quilicura;3;1;87;350;1
797783;Peñalolén;5;4;200;625;2
921883;LaReina;6;5;270;573;4
523039;Santiago;6;2;180;360;
585305;Tiltil;4;4;290;75000;
1063711;LaReina;5;4;240;600;7
217933;Maipu;4;3;119;300;
95890;PuenteAlto;4;2;75;112;
199253;ElBosque;3;1;54;418;
286316;Santiago;3;2;200;340;
68493;Colina;2;2;59;67;1
627590;Santiago;1;1;708;708;
265928;Huechuraba;3;3;110;200;2
686980;LasCondes;6;5;170;290;
680332;LasCondes;4;4;181;252;2
1099168;LasCondes;5;5;270;820;5
992797;LasCondes;6;4;190;398;2
1240553;LasCondes;5;4;259;633;4
1373960;LasCondes;5;5;400;1000;4
1551245;LasCondes;3;3;200;501;
1546813;LasCondes;4;5;330;600;4
1285318;LasCondes;4;4;260;1154;3
1285318;LoBarnechea;4;4;360;1000;6
1728531;LoBarnechea;5;4;470;980;7
855401;LasCondes;4;3;168;630;
1209971;LoBarnechea;5;4;228;837;2
1147922;LasCondes;5;3;261;300;
1546813;LasCondes;6;6;443;943;4
819501;LoBarnechea;4;4;235;502;3
1276453;LoBarnechea;4;4;363;1200;5
1077007;LoBarnechea;5;5;374;1126;10
491966;LoBarnechea;4;3;136;110;2
797783;Peñalolén;5;5;200;625;3
1440486;LoBarnechea;4;4;295;631;
1287356;LoBarnechea;3;3;254;529;3
952465;LasCondes;4;3;172;374;3
1037118;LoBarnechea;4;1;180;685;
2637117;Vitacura;5;5;494;1839;
2526314;Vitacura;1;2;250;512;
868254;LoBarnechea;5;4;214;614;2
952908;LoBarnechea;6;4;205;491;2
1453738;LoBarnechea;5;4;310;735;4
664819;LoBarnechea;5;3;150;320;2
1679334;Vitacura;5;4;253;2900;8
966204;LoBarnechea;3;3;245;465;
211706;PuenteAlto;3;3;97;137;1
438781;LaReina;3;2;92;420;5
1418281;LoBarnechea;5;4;274;731;
1502492;LoBarnechea;5;4;330;753;3
788919;LoBarnechea;5;4;157;328;
1413849;LoBarnechea;5;5;273;731;3
700276;Vitacura;5;4;140;150;4
2393350;LoBarnechea;5;3;450;1479;2
749030;Colina;5;5;175;510;2
465374;LaReina;4;3;175;318;
465374;Ñuñoa;3;2;133;261;
464930;Ñuñoa;5;3;127;176;
1196675;LasCondes;5;3;243;980;
211706;Santiago;3;2;129;163;
